State Postal,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
AL,Washington,8761,Dem,Barack,Obama,2971,GOP,Mitt,Romney,5749,"39,173"
AL,Wilcox,6547,Dem,Barack,Obama,4867,GOP,Mitt,Romney,1676,"22,126"
AL,Winston,9712,Dem,Barack,Obama,1286,GOP,Mitt,Romney,8310,"32,663"
AR,Arkansas,1062831,Dem,Barack,Obama,391953,GOP,Mitt,Romney,643717,"40,151"
AR,Ashley,7915,Dem,Barack,Obama,2855,GOP,Mitt,Romney,4866,"39,276"
AR,Baxter,19339,Dem,Barack,Obama,5172,GOP,Mitt,Romney,13688,"35,315"
AR,Benton,77525,Dem,Barack,Obama,22144,GOP,Mitt,Romney,53477,"52,717"
AR,Boone,15363,Dem,Barack,Obama,3762,GOP,Mitt,Romney,11143,"35,848"
AR,Bradley,3634,Dem,Barack,Obama,1447,GOP,Mitt,Romney,2118,"31,940"
AR,Carroll,10172,Dem,Barack,Obama,3691,GOP,Mitt,Romney,6121,"34,096"
AR,Chicot,4361,Dem,Barack,Obama,2649,GOP,Mitt,Romney,1670,"26,911"
AR,Clark,8406,Dem,Barack,Obama,3808,GOP,Mitt,Romney,4343,"34,606"
AR,Cleveland,3266,Dem,Barack,Obama,845,GOP,Mitt,Romney,2313,"41,338"
AR,Columbia,9455,Dem,Barack,Obama,3557,GOP,Mitt,Romney,5790,"35,024"
AR,Conway,7724,Dem,Barack,Obama,3003,GOP,Mitt,Romney,4511,"35,832"
AR,Craighead,31207,Dem,Barack,Obama,10351,GOP,Mitt,Romney,20044,"42,437"
AR,Crawford,20562,Dem,Barack,Obama,4872,GOP,Mitt,Romney,15125,"39,367"
AR,Crittenden,15513,Dem,Barack,Obama,9092,GOP,Mitt,Romney,6192,"36,588"
AR,Cross,6680,Dem,Barack,Obama,2279,GOP,Mitt,Romney,4268,"35,839"
AR,Desha,4240,Dem,Barack,Obama,2353,GOP,Mitt,Romney,1807,"30,298"
AR,Drew,6626,Dem,Barack,Obama,2627,GOP,Mitt,Romney,3883,"33,682"
AR,Faulkner,41322,Dem,Barack,Obama,13559,GOP,Mitt,Romney,26653,"49,843"
AR,Fulton,4522,Dem,Barack,Obama,1452,GOP,Mitt,Romney,2949,"31,988"
AR,Garland,39241,Dem,Barack,Obama,13317,GOP,Mitt,Romney,25031,"39,617"
AR,Grant,6478,Dem,Barack,Obama,1467,GOP,Mitt,Romney,4829,"47,421"
AR,Hempstead,6919,Dem,Barack,Obama,2466,GOP,Mitt,Romney,4284,"32,292"
AR,Hot Spring,11239,Dem,Barack,Obama,3824,GOP,Mitt,Romney,7087,"41,754"
AR,Howard,4419,Dem,Barack,Obama,1460,GOP,Mitt,Romney,2862,"33,049"
AR,Independence,12390,Dem,Barack,Obama,3279,GOP,Mitt,Romney,8724,"37,818"
AR,Izard,5313,Dem,Barack,Obama,1563,GOP,Mitt,Romney,3571,"29,663"
AR,Johnson,8064,Dem,Barack,Obama,2785,GOP,Mitt,Romney,5045,"34,322"
AR,Lafayette,2928,Dem,Barack,Obama,1173,GOP,Mitt,Romney,1712,"28,857"
AR,Lincoln,3725,Dem,Barack,Obama,1424,GOP,Mitt,Romney,2199,"36,222"
AR,Little River,5051,Dem,Barack,Obama,1552,GOP,Mitt,Romney,3385,"35,406"
AR,Logan,7330,Dem,Barack,Obama,2009,GOP,Mitt,Romney,5078,"33,850"
AR,Lonoke,24083,Dem,Barack,Obama,5612,GOP,Mitt,Romney,17863,"51,212"
AR,Miller,15329,Dem,Barack,Obama,4518,GOP,Mitt,Romney,10622,"38,225"
AR,Mississippi,13349,Dem,Barack,Obama,6445,GOP,Mitt,Romney,6599,"34,058"
AR,Nevada,3384,Dem,Barack,Obama,1314,GOP,Mitt,Romney,1996,"32,107"
AR,Newton,3661,Dem,Barack,Obama,993,GOP,Mitt,Romney,2508,"29,316"
AR,Ouachita,10303,Dem,Barack,Obama,4626,GOP,Mitt,Romney,5516,"32,749"
AR,Phillips,7900,Dem,Barack,Obama,5179,GOP,Mitt,Romney,2591,"26,013"
